,0
955,7-18079671            
956,7-18231992            
957,7-18231992            
958,7-18069504            
959,7-18069504            
960,7-18042340            
961,7-18042340            
962,7-18121064            
963,7-18121064            
964,54-44681341           
965,54-44681341           
966,54-45989264           
967,54-45989264           
968,7-17911098            
969,7-17911098            
970,7-18241715            
971,7-18241715            
972,7-18007762            
973,7-18007762            
974,54-48685732           
975,54-48685732           
976,7-17714994            
977,7-18167572            
978,7-18167572            
979,7-18072462            
980,7-18072462            
981,7-18203101            
982,7-18203101            
983,54-49458313           
984,54-49458313           
985,7-18020425            
986,7-18020425            
987,7-17795357            
988,7-18032661            
989,7-18032661            
990,7-17812652            
991,7-17812652            
992,7-18114308            
993,7-18114308            
994,7-18302907            
995,7-18302907            
996,54-49458021           
997,54-49458021           
998,7-18194372            
999,7-18194372            
1000,7-18102817            
1001,7-18102817            
1002,7-18027223            
1003,7-18027223            
1004,7-18235601            
1005,7-18235601            
1006,7-18173720            
1007,7-18173720            
1008,7-18102335            
1009,7-18102335            
1010,7-18071839            
1011,7-18071839            
1012,7-18066709            
1013,7-18066709            
1014,7-18046114            
1015,7-18046114            
1016,7-18033608            
1017,7-18033608            
1018,7-17744180            
1019,7-17744180            
1020,3-90789084            
1021,3-90789084            
1022,3-90789084            
1023,3-89414656            
1024,3-89414656            
1025,3-89414656            
1026,3-87352749            
1027,3-87352749            
1028,3-88899722            
1029,3-88899722            
1030,3-87353180            
1031,3-87353180            
1032,3-86827812            
1033,3-88391473            
1034,3-88391473            
1035,3-88391473            
1036,3-87352737            
1037,3-87352737            
1038,3-86827756            
1039,3-86827756            
1040,3-86827756            
1041,3-90790683            
1042,3-90349855            
1043,3-90349855            
1044,3-90349855            
1045,3-86828000            
1046,3-86828000            
1047,3-86828335            
1048,3-86828335            
1049,3-88390288            
1050,3-88390288            
1051,3-88390288            
1052,3-91637232            
1053,3-91637232            
1054,3-91637232            
1055,3-91219212            
1056,3-91219212            
1057,3-91219212            
1058,3-91636801            
1059,3-91636801            
1060,3-91636801            
1061,3-89413541            
1062,3-89413541            
1063,3-90789195            
1064,3-90789195            
1065,3-90789195            
1066,3-85736293            
1067,3-86286384            
1068,3-86286304            
1069,3-87352532            
1070,3-87352532            
1071,3-87352532            
1072,3-90789411            
1073,3-90789411            
1074,3-90789411            
1075,3-89414585            
1076,3-89414585            
1077,3-89414585            
1078,3-88390322            
1079,3-88390322            
1080,3-89893196            
1081,3-50238541            
1082,3-49732540            
1083,3-51737540            
1084,7-19051760            
1085,3-50238375            
1086,7-18850921            
1087,3-50235838            
1088,7-18960653            
1089,3-48712598            
1090,7-18984210            
1091,7-19059239            
1092,7-18962007            
1093,7-19054562            
1094,7-19045441            
1095,7-18985605            
1096,7-18948470            
1097,7-18912376            
1098,7-18912376            
1099,3-48709600            
1100,3-48709600            
1101,7-19518847            
1102,7-19518847            
1103,7-19736188            
1104,7-19736188            
1105,3-48187427            
1106,3-48187427            
1107,3-49734525            
1108,3-49734525            
1109,3-48185122            
1110,3-48185122            
1111,3-46533823            
1112,3-46533823            
1113,3-47649901            
1114,3-47649901            
1115,3-50233638            
1116,3-50233638            
1117,3-50232540            
1118,3-50232540            
1119,7-18762280            
1120,7-18762280            
1121,7-18966497            
1122,54-39906158           
1123,54-39906158           
1124,7-18891919            
1125,7-18897705            
1126,7-18897705            
1127,7-18860238            
1128,7-18860238            
1129,7-18847566            
1130,7-18847566            
1131,7-19034737            
1132,7-19034737            
1133,7-19011068            
1134,7-19011068            
1135,7-18984210            
1136,7-18984210            
1137,7-19059239            
1138,7-19059239            
1139,7-19026971            
1140,7-19026971            
1141,7-19000961            
1142,7-19000961            
1143,7-19025359            
1144,7-19025359            
1145,7-19045441            
1146,7-19045441            
1147,3-50234717            
1148,3-50234717            
1149,3-50733535            
1150,3-50733535            
1151,7-20676441            
1152,7-20676441            
1153,7-20676441            
1154,3-22621506            
1155,3-22621506            
1156,3-22621506            
1157,3-19437057            
1158,3-19437057            
1159,3-24522947            
1160,3-24522947            
1161,3-24522947            
1162,7-20775761            
1163,7-20775761            
1164,7-20775761            
1165,55-2191637904670592896
1166,55-2191637904670592896
1167,3-24043390            
1168,3-24043390            
1169,7-20857085            
1170,7-20857085            
1171,55-2179423086398277760
1172,55-2179423086398277760
1173,55-2179423086398277760
1174,7-20649429            
1175,7-20649429            
1176,7-20649429            
1177,3-22616213            
1178,3-22616213            
1179,3-22616213            
1180,3-23093498            
1181,3-23093498            
1182,3-23093498            
1183,3-21206112            
1184,3-21206112            
1185,7-20852409            
1186,7-20852409            
1187,7-20852409            
1188,7-20638741            
1189,7-20638741            
1190,7-20925911            
1191,7-20925911            
1192,7-20925911            
1193,7-20921401            
1194,7-20921401            
1195,7-20921401            
1196,7-20707647            
1197,7-20707647            
1198,7-20707647            
1199,7-21013343            
1200,7-21013343            
1201,7-21013343            
1202,7-20908646            
1203,7-20908646            
1204,7-20908646            
1205,7-21051090            
1206,7-21051090            
